Name,Amount
BREIT,3079250877
PROLOGIS TARGETED U.S. LOGISTICS FUND,383944999
"BLACKSTONE PROPERTY PARTNERS US, LP",351157349
BLACKSTONE GROUP CO‐INVESTMENT,343081615
LION INDUSTRIAL TRUST,230000218
BROOKFIELD STRATEGIC REAL ESTATE PARTNERS III,210529122
INTERSTATE INVESTMENTS SEPARATE ACCOUNT,187199369
PRISA II,171588619
PRISA SA,165337624
LION PROPERTIES FUND,160351195
"BLACKSTONE BIOMED LIFE SCIENCE REAL ESTATE, LP",160177194
CLARION PARTNERS SEPARATE ACCOUNT,142763563
"BLACKSTONE REAL ESTATE PARTNERS IX, LP",133517462
A&E REAL ESTATE PARTNERSHIP II,118068772
TA REALTY SEPARATE ACCOUNT,109710443
UC VENTURES SEPARATE ACCOUNT,104528754
BLACKSTONE PROPERTY PARTNERS EUROPE,96193606
BLACKSTONE REAL ESTATE PARTNERS ASIA II,81856347
UC VENTURES SEPARATE ACCOUNT,79355387
HEITMAN HART,72108706
UC VENTURES SEPARATE ACCOUNT,71313480
A&E NYC WORKFORCE HOUSING,68828649
LIONSTONE INVESTMENTS SEPARATE ACCOUNT,63116488
FOCUS SENIOR HOUSING FUND I,61186739
IPI DATA CENTER FUND I,60403853
"KSL CAPITAL PARTNERS V, L.P.",59731620
CLARION PARTNERS SEPARATE ACCOUNT,58343094
CIM FUND VIII,54050768
UC VENTURES SEPARATE ACCOUNT,51404382
BUCHANAN INVESTMENTS SEPARATE ACCOUNT,43550653
BROOKFIELD FAIRFIELD VAMF III,42845162
JOHN HANCOCK‐MANULIFE SEPARATE ACCOUNT,41711367
BREAKTHROUGH PROPERTIES SEPARATE ACCOUNT,35512793
CLARION PARTNERS SEPARATE ACCOUNT,34471490
CLARION PARTNERS SEPARATE ACCOUNT,33614131
LIONSTONE INVESTMENTS SEPARATE ACCOUNT,32065679
BROOKFIELD ASSET MANAGEMENT CO‐INVESTMENT,31864006
KKR REAL ESTATE PARTNERS II,30917859
KKR CO‐INVESTMENT,26299356
CLARION PARTNERS SEPARATE ACCOUNT,24908628
GAW CAPITAL PARTNERS USA SEPARATE ACCOUNT,24680482
KSL CAPITAL PARTNERS III,20247847
WALTON STREET REAL ESTATE FUND VI,19483570
CERBERUS REAL ESTATE III,19185140
SAGEHALL PARTNERS FUND I LP,17897406
CLARION PARTNERS SEPARATE ACCOUNT,17835123
SAGEHALL PARTNERS SEPARATE ACCOUNT,17805116
CIM REAL ESTATE FUND III,16660849
CLARION PARTNERS SEPARATE ACCOUNT,12256145
BUCHANAN INVESTMENTS SEPARATE ACCOUNT,10457962
BLACKSTONE REAL ESTATE PARTNERS X LP,7523946
WESTBROOK REAL ESTATE FUND IX,7450457
BLACKSTONE REAL ESTATE PARTNERS VII,6340512
TA REALTY SEPARATE ACCOUNT,5642318
LBA REALTY FUND III,4765884
WESTBROOK REAL ESTATE FUND VII,4443385
WESTBROOK REAL ESTATE FUND VIII,3328496
WALTON STREET REAL ESTATE FUND V,2046083
ROCKPOINT REAL ESTATE FUND IV,1782506
BLACKSTONE REAL ESTATE PARTNERS VI,1209156
TA REALTY SEPARATE ACCOUNT,1124588
ROCKPOINT REAL ESTATE FUND III,968308
LIONSTONE INVESTMENTS SEPARATE ACCOUNT,940487
CLARION PARTNERS SEPARATE ACCOUNT,625150
LIONSTONE INVESTMENTS SEPARATE ACCOUNT,612782
RREEF GLOBAL OPP FD II,559869
METROPOLITAN WORKFORCE HOUSING FUND,478967
METROPOLITAN WORKFORCE HOUSING FUND,478967
RGI LEGACY,473533
LIONSTONE INVESTMENTS SEPARATE ACCOUNT,468434
BUCHANAN INVESTMENTS SEPARATE ACCOUNT,351109
INLAND RETAIL PROPERTY FUND LP,174966
CALIFORNIA SMART GROWTH FUND IV,155298
JP MORGAN SEPARATE ACCOUNT,128772
